ID,SALE_PRICE,LIVING_SQFT,LOG_LIVING,LIVING_SQ,TOT_FIN_SQFT,LOG_TOT_FIN,FBSMT_SQFT,LOG_FBSMT,BSMT_AREA,LOG_BSMT,BSMT_FIN_RATIO,LAND_SQFT,LOG_LAND,LAND_PER_LIVING,GRD_AREA,BLDG_AGE,LOG_AGE,AGE_SQ,EFF_AGE,LOG_EFF_AGE,BED_RMS,FULL_B,HLF_B,TOT_BATH,BATH_PER_BED,SQFT_PER_ROOM,STORY,IS_CONDO,EVER_REMOD,HAS_LAND,HAS_BSMT,HAS_FBSMT,HAS_GRD,IS_NEW,IS_HISTORIC,IS_STUDIO,NB_CAPITOL_HILL,NB_CENTRAL_PARK,NB_FIVE_POINTS,NB_HAMPDEN,NB_HAMPDEN_SOUTH,NB_HIGHLAND,NB_MARSTON,NB_MONTBELLO,NB_MONTCLAIR,NB_NORTH_PARK_HILL,NB_SLOAN_LAKE,NB_UNION_STATION,NB_WINDSOR,ST_2STORY,ST_END_UNIT,ST_MIDDLE_UNIT,ST_MULTILEVEL,ST_PARTIAL_STORY,SLP_CAPITOL_HILL,SLP_CENTRAL_PARK,SLP_FIVE_POINTS,SLP_HAMPDEN,SLP_HAMPDEN_SOUTH,SLP_HIGHLAND,SLP_MARSTON,SLP_MONTBELLO,SLP_MONTCLAIR,SLP_NORTH_PARK_HILL,SLP_SLOAN_LAKE,SLP_UNION_STATION,SLP_WINDSOR,SLP_CONDO,SLP_AGE_CONDO,SLP_LAND_SFR
731464,250000.0,1200,7.090076835776092,1.44,1200,7.090076835776092,0,0.0,0,0.0,0.0,0,0.0,0.0,0,43,3.784189633918261,1.849,4.0,1.6094379124341003,2,2,0,2.0,1.0,300.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,7.090076835776092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.090076835776092,3.784189633918261,0.0
731473,785000.0,1179,7.072421900537371,1.390041,1179,7.072421900537371,0,0.0,0,0.0,0.0,0,0.0,0.0,0,2,1.0986122886681098,0.004,2.0,1.0986122886681098,1,1,1,1.5,1.5,589.5,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.072421900537371,0.0,7.072421900537371,1.0986122886681098,0.0
731713,350000.0,1391,7.237778191923443,1.934881,1715,7.44716835960004,324,5.783825182329737,424,6.052089168924417,0.7641509433962265,6473,8.775549434486189,4.653486700215672,0,23,3.1780538303479458,0.529,6.0,1.9459101490553132,3,3,1,3.5,1.1666666666666667,231.83333333333334,2.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.775549434486189
732256,462000.0,1249,7.130098510125578,1.560001,1249,7.130098510125578,0,0.0,0,0.0,0.0,6500,8.77971129020447,5.204163330664532,0,71,4.276666119016055,5.041,0.0,0.0,3,2,0,2.0,0.6666666666666666,249.8,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.130098510125578,0.0,0.0,0.0,0.0,0.0,8.77971129020447
733141,605000.0,768,6.643789733147672,0.589824,1268,7.145196134997171,500,6.2166061010848646,768,6.645090969505644,0.6510416666666666,4460,8.403128235128264,5.807291666666667,0,84,4.442651256490317,7.056,12.0,2.5649493574615367,2,2,0,2.0,1.0,192.0,1.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.643789733147672,0.0,0.0,0.0,0.0,8.403128235128264
733795,213000.0,1194,7.085064293952548,1.425636,1194,7.085064293952548,0,0.0,0,0.0,0.0,0,0.0,0.0,0,44,3.8066624897703196,1.936,0.0,0.0,2,2,0,2.0,1.0,298.5,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.085064293952548,7.085064293952548,3.8066624897703196,0.0
734246,370000.0,948,6.854354502255021,0.898704,948,6.854354502255021,0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,4.700480365792417,11.881,18.0,2.9444389791664403,2,1,0,1.0,0.5,316.0,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,6.854354502255021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854354502255021,4.700480365792417,0.0
734330,712000.0,1912,7.555905093611346,3.655744,2504,7.825644732219989,592,6.385194398997726,864,6.762729506931879,0.6851851851851852,3420,8.137688184977605,1.788702928870293,0,0,0.0,0.0,0.0,0.0,3,3,1,3.5,1.1666666666666667,318.6666666666667,2.0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,7.555905093611346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.137688184977605
734632,115000.0,855,6.75110146893676,0.731025,855,6.75110146893676,0,0.0,0,0.0,0.0,0,0.0,0.0,0,54,4.007333185232471,2.916,0.0,0.0,1,1,0,1.0,1.0,427.5,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75110146893676,6.75110146893676,4.007333185232471,0.0
734636,350000.0,1771,7.479299637782834,3.136441,1771,7.479299637782834,0,0.0,0,0.0,0.0,7000,8.853808274977197,3.952569169960474,0,52,3.970291913552122,2.704,1.0,0.6931471805599453,3,2,0,2.0,0.6666666666666666,354.2,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.479299637782834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.853808274977197
